"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Selenocompound metabolism","13","3","1","0.76368","0.39245","1","1","38","0.38","1","1","1","P35","C00041"
"Glutathione metabolism","26","10","1","1.5274","0.81216","1","1","88","0.88","1","1","1","P36","C00315"
"Starch and sucrose metabolism","22","9","1","1.2924","0.77765","1","1","26","0.26","1","1","1","P37","C00095;C00031"
"Inositol phosphate metabolism","28","7","1","1.6449","0.68875","1","1","48","0.48","1","1","1","P38","C00137"
"Propanoate metabolism","19","8","1","1.1162","0.73689","1","1","59","0.59","1","1","1","P39","C06002;C00109"
"Carbon fixation in photosynthetic organisms","21","6","1","1.2336","0.63193","1","1","46","0.46","1","1","1","P40","C00041"
"Thiamine metabolism","22","6","1","1.2924","0.63193","1","1","40","0.4","1","1","1","P41","C01279"
"Nicotinate and nicotinamide metabolism","13","9","1","0.76368","0.77765","1","1","66","0.66","1","1","1","P42","C03150"
"Lipoic acid metabolism","24","3","1","1.4099","0.39245","1","1","11","0.11","1","1","1","P43","C05125"
"Terpenoid backbone biosynthesis","30","6","1","1.7623","0.63193","1","1","28","0.28","1","1","1","P44","C00341"
"Monoterpenoid biosynthesis","7","2","1","0.41121","0.28244","1","1","10","0.1","1","1","1","P45","C00341"
"Zeatin biosynthesis","21","7","1","1.2336","0.68875","1","1","39","0.39","1","1","1","P46","C00371"
"Phenylpropanoid biosynthesis","43","23","1","2.526","0.97965","1","1","92","0.92","1","1","1","P47","C02646"
"Flavonoid biosynthesis","47","28","1","2.761","0.99148","1","1","73","0.73","1","1","1","P48","C05905;C05906;C12136"
"Anthocyanin biosynthesis","11","3","1","0.64619","0.39245","1","1","28","0.28","1","1","1","P49","C20491"
"Betalain biosynthesis","3","3","1","0.17623","0.39245","1","1","35","0.35","1","1","1","P50","C17758"
"Glucosinolate biosynthesis","65","29","1","3.8184","0.99284","1","1","83","0.83","1","1","1","P51","C04350"
"Biosynthesis of various plant secondary metabolites","29","15","1","1.7036","0.91957","1","1","68","0.68","1","1","1","P52","C04498"
