"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Folate biosynthesis","31","14","3","2.0487","0.63929","0.85405","0.078211","42","0.42","1","1","1","P21","C11355;C01300;C00266"
"Fructose and mannose metabolism","18","8","2","1.1896","0.56519","0.86713","0.084702","4","0.04","1","1","1","P22","C00267;C00159;C00095"
"Valine, leucine and isoleucine degradation","37","15","3","2.4453","0.68885","0.88062","0.092291","31","0.31","1","1","1","P23","C06001;C02170;C01205"
"Glyoxylate and dicarboxylate metabolism","29","15","3","1.9166","0.68885","0.88062","0.092291","59","0.59","1","1","1","P24","C00025;C00033;C00042"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","2","3.1061","0.63391","0.89706","0.10308","73","0.73","1","1","1","P25","C01179;C00544"
"Glutathione metabolism","26","9","2","1.7183","0.63391","0.89706","0.10308","67","0.67","1","1","1","P26","C00025;C01879"
"Cyanoamino acid metabolism","29","18","3","1.9166","0.80701","0.93599","0.13926","89","0.89","1","1","1","P27","C19715;C01401;C00302"
"Pyrimidine metabolism","41","11","2","2.7096","0.74569","0.93834","0.14219","36","0.36","1","1","1","P28","C00099;C01205"
"beta-Alanine metabolism","18","11","2","1.1896","0.74569","0.93834","0.14219","57","0.57","1","1","1","P29","C00099;C00555"
"Galactose metabolism","27","12","2","1.7844","0.78984","0.95233","0.1624","2","0.02","1","1","1","P30","C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Ascorbate and aldarate metabolism","20","12","2","1.3218","0.78984","0.95233","0.1624","71","0.71","1","1","1","P31","C00137;C01825"
"Valine, leucine and isoleucine biosynthesis","22","20","3","1.4539","0.86303","0.95837","0.1731","75","0.75","1","1","1","P32","C00188;C06006;C14463"
"Cysteine and methionine metabolism","47","21","3","3.1061","0.88534","0.96655","0.1904","91","0.91","1","1","1","P33","C00979;C00263;C02356"
"Purine metabolism","73","28","4","4.8244","0.90782","0.96817","0.19431","23","0.23","1","1","1","P34","C00499;C00655;C02350;C00387"
"Pantothenate and CoA biosynthesis","25","14","2","1.6522","0.85848","0.97156","0.20319","87","0.87","1","1","1","P35","C00099;C00966"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","2","1.4539","0.9062","0.98308","0.24361","90","0.9","1","1","1","P36","C00826;C01179"
"Amino sugar and nucleotide sugar metabolism","52","16","2","3.4366","0.9062","0.98308","0.24361","8","0.08","1","1","1","P37","C00267;C00159;C00095"
"Phenylpropanoid biosynthesis","43","16","2","2.8418","0.9062","0.98308","0.24361","86","0.86","1","1","1","P38","C01197;C02646;C10434"
"Citrate cycle (TCA cycle)","20","11","1","1.3218","0.94031","1","1","87","0.87","1","1","1","P39","C00042"
"Arginine biosynthesis","18","13","1","1.1896","0.96456","1","1","91","0.91","1","1","1","P40","C00025"
"Lysine degradation","20","5","1","1.3218","0.7195","1","1","85","0.85","1","1","1","P41","C00408"
"Phenylalanine metabolism","12","6","1","0.79306","0.7829","1","1","72","0.72","1","1","1","P42","C05852"
"Tryptophan metabolism","29","14","1","1.9166","0.97272","1","1","89","0.89","1","1","1","P43","C00643"
"Phosphonate and phosphinate metabolism","5","1","1","0.33044","0.22348","1","1","5","0.05","1","1","1","P44","C03557"
"Selenocompound metabolism","13","2","1","0.85915","0.3974","1","1","16","0.16","1","1","1","P45","C00041"
"Inositol phosphate metabolism","28","7","1","1.8505","0.83208","1","1","30","0.3","1","1","1","P46","C00137"
"Arachidonic acid metabolism","9","3","1","0.59479","0.53268","1","1","12","0.12","1","1","1","P47","C00909"
"Pyruvate metabolism","23","11","1","1.52","0.94031","1","1","65","0.65","1","1","1","P48","C00033"
"Carbon fixation in photosynthetic organisms","21","6","1","1.3879","0.7829","1","1","59","0.59","1","1","1","P49","C00041"
"Nicotinate and nicotinamide metabolism","13","8","1","0.85915","0.87021","1","1","56","0.56","1","1","1","P50","C03150"
"Biotin metabolism","18","3","1","1.1896","0.53268","1","1","2","0.02","1","1","1","P51","C00120"
"Indole alkaloid biosynthesis","4","2","1","0.26435","0.3974","1","1","0","0","1","1","1","P52","C01852"
"Nitrogen metabolism","12","3","1","0.79306","0.53268","1","1","31","0.31","1","1","1","P53","C00025"
"Betalain biosynthesis","3","2","1","0.19826","0.3974","1","1","4","0.04","1","1","1","P54","C00355"
"Glucosinolate biosynthesis","65","18","1","4.2957","0.99049","1","1","87","0.87","1","1","1","P55","C17217"
"Biosynthesis of various plant secondary metabolites","29","7","1","1.9166","0.83208","1","1","34","0.34","1","1","1","P56","C18325"
