"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Diterpenoid biosynthesis","29","11","2","1.9166","0.74569","0.93834","0.13148","42","0.42","1","1","1","P28","C11875;C11876"
"Valine, leucine and isoleucine biosynthesis","22","20","3","1.4539","0.86303","0.95837","0.16073","69","0.69","1","1","1","P29","C06006;C14463;C00183"
"Arginine biosynthesis","18","13","2","1.1896","0.82717","0.96317","0.16993","70","0.7","1","1","1","P30","C00437;C04133"
"Cyanoamino acid metabolism","29","18","2","1.9166","0.93865","0.98996","0.26562","94","0.94","1","1","1","P31","C01594;C01401"
"Pentose phosphate pathway","19","5","1","1.2557","0.7195","1","1","6","0.06","1","1","1","P32","C00668;C00085;C01172"
"Pentose and glucuronate interconversions","17","6","1","1.1235","0.7829","1","1","18","0.18","1","1","1","P33","C00103"
"Fructose and mannose metabolism","18","8","1","1.1896","0.87021","1","1","17","0.17","1","1","1","P34","C00275;C00636;C00085;C01094"
"Galactose metabolism","27","12","1","1.7844","0.95399","1","1","12","0.12","1","1","1","P35","C01097;C00103;C00446;C00668"
"Ascorbate and aldarate metabolism","20","12","1","1.3218","0.95399","1","1","90","0.9","1","1","1","P36","C15926"
"Fatty acid biosynthesis","56","7","1","3.7009","0.83208","1","1","46","0.46","1","1","1","P37","C06423"
"Purine metabolism","73","28","1","4.8244","0.99935","1","1","96","0.96","1","1","1","P38","C11821"
"Monobactam biosynthesis","8","5","1","0.5287","0.7195","1","1","52","0.52","1","1","1","P39","C00441"
"Cysteine and methionine metabolism","47","21","1","3.1061","0.99572","1","1","99","0.99","1","1","1","P40","C00441"
"Valine, leucine and isoleucine degradation","37","15","1","2.4453","0.97901","1","1","80","0.8","1","1","1","P41","C00183"
"Lysine degradation","20","5","1","1.3218","0.7195","1","1","89","0.89","1","1","1","P42","C04076"
"Phenylalanine metabolism","12","6","1","0.79306","0.7829","1","1","71","0.71","1","1","1","P43","C05852"
"Glutathione metabolism","26","9","1","1.7183","0.89975","1","1","95","0.95","1","1","1","P44","C01879"
"Starch and sucrose metabolism","22","5","1","1.4539","0.7195","1","1","6","0.06","1","1","1","P45","C00103;C00092;C00085"
"N-Glycan biosynthesis","35","2","1","2.3131","0.3974","1","1","2","0.02","1","1","1","P46","C03862"
"Amino sugar and nucleotide sugar metabolism","52","16","1","3.4366","0.98387","1","1","27","0.27","1","1","1","P47","C00446;C00103;C00275;C00636;C00668;C00085"
"Glycerolipid metabolism","21","4","1","1.3879","0.63783","1","1","12","0.12","1","1","1","P48","C00103"
"Inositol phosphate metabolism","28","7","1","1.8505","0.83208","1","1","27","0.27","1","1","1","P49","C00092;C03546;C04006;C01177"
"Linoleic acid metabolism","4","3","1","0.26435","0.53268","1","1","53","0.53","1","1","1","P50","C01595"
"Butanoate metabolism","17","11","1","1.1235","0.94031","1","1","92","0.92","1","1","1","P51","C00246"
"Riboflavin metabolism","13","2","1","0.85915","0.3974","1","1","25","0.25","1","1","1","P52","C00061"
"Folate biosynthesis","31","14","1","2.0487","0.97272","1","1","92","0.92","1","1","1","P53","C00251"
"Flavone and flavonol biosynthesis","10","3","1","0.66088","0.53268","1","1","29","0.29","1","1","1","P54","C05903;C01514"
"Glucosinolate biosynthesis","65","18","1","4.2957","0.99049","1","1","81","0.81","1","1","1","P55","C00183"
