"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ascorbate and aldarate metabolism","20","16","5","2.0427","0.31145","0.53106","0.02914","38","0.38","1","1","1","P14","C01040;C00137;C00191;C00072;C05422;C02670;C01115;C01825;C03289"
"Linoleic acid metabolism","4","3","2","0.40854","0.13814","0.54838","0.030951","10","0.1","1","1","1","P15","C04717;C14827"
"Tyrosine metabolism","17","17","5","1.7363","0.36411","0.58422","0.035141","42","0.42","1","1","1","P16","C02514;C01061;C01036;C00483;C00022"
"Taurine and hypotaurine metabolism","5","4","2","0.51068","0.23456","0.65383","0.04542","9","0.09","1","1","1","P17","C00506;C00245"
"Thiamine metabolism","22","9","3","2.247","0.35412","0.65717","0.046002","10","0.1","1","1","1","P18","C04556;C00022;C20267"
"Zeatin biosynthesis","21","9","3","2.1449","0.35412","0.65717","0.046002","5","0.05","1","1","1","P19","C02029;C04713;C00147"
"Purine metabolism","73","39","9","7.4559","0.5845","0.72266","0.059554","36","0.36","1","1","1","P20","C02091;C00499;C00212;C00366;C11821;C12248;C00147;C00387;C00330"
"Arachidonic acid metabolism","9","5","2","0.91923","0.33325","0.73478","0.062608","11","0.11","1","1","1","P21","C02166;C02165"
"Folate biosynthesis","31","16","4","3.1662","0.53695","0.75871","0.069278","66","0.66","1","1","1","P22","C00251;C00921;C01300;C01304"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","4","2.247","0.59013","0.7961","0.081786","70","0.7","1","1","1","P23","C03506;C00251;C00254;C00493;C00944"
"D-Amino acid metabolism","7","6","2","0.71495","0.42791","0.7969","0.082084","14","0.14","1","1","1","P24","C00666;C00680;C00022"
"C5-Branched dibasic acid metabolism","6","6","2","0.61282","0.42791","0.7969","0.082084","24","0.24","1","1","1","P25","C00022;C06010"
"beta-Alanine metabolism","18","12","3","1.8385","0.55953","0.80878","0.086747","47","0.47","1","1","1","P26","C00222;C00099;C00986"
"Cysteine and methionine metabolism","47","29","6","4.8004","0.70875","0.84361","0.10287","45","0.45","1","1","1","P27","C01234;C02291;C00506;C01077;C00022;C00441"
"Carbon fixation in photosynthetic organisms","21","7","2","2.1449","0.51503","0.84454","0.10336","28","0.28","1","1","1","P28","C00022;C00041"
"Pentose phosphate pathway","19","8","2","1.9406","0.59295","0.88106","0.12597","11","0.11","1","1","1","P29","C01801;C00121"
"Glycine, serine and threonine metabolism","33","21","4","3.3705","0.76356","0.90079","0.14179","49","0.49","1","1","1","P30","C00213;C00719;C00441;C00022"
"Vitamin B6 metabolism","12","9","2","1.2256","0.66119","0.90905","0.14948","53","0.53","1","1","1","P31","C00250;C06056"
"Amino sugar and nucleotide sugar metabolism","52","22","4","5.3111","0.79673","0.91797","0.15868","7","0.07","1","1","1","P32","C00191;C00352;C00267;C00259;C00159;C00095;C00333;C00181"
"Pentose and glucuronate interconversions","17","10","2","1.7363","0.71998","0.93048","0.17352","22","0.22","1","1","1","P33","C00191;C00309;C00310;C00181;C00333"
"Glycolysis / Gluconeogenesis","26","11","2","2.6555","0.76999","0.94689","0.19779","51","0.51","1","1","1","P34","C00022;C00221;C00267"
"Butanoate metabolism","17","11","2","1.7363","0.76999","0.94689","0.19779","66","0.66","1","1","1","P35","C00022;C06010"
"Cyanoamino acid metabolism","29","25","4","2.9619","0.87436","0.95457","0.21187","85","0.85","1","1","1","P36","C05714;C05670;C01401;C05711;C06114"
"Arginine and proline metabolism","32","27","4","3.2684","0.91069","0.96982","0.24838","88","0.88","1","1","1","P37","C00436;C00134;C02946;C03912"
"Arginine biosynthesis","18","14","2","1.8385","0.87628","0.97639","0.26992","79","0.79","1","1","1","P38","C04133;C03406"
"Pyrimidine metabolism","41","23","3","4.1876","0.93454","0.98326","0.29944","53","0.53","1","1","1","P39","C00475;C00239;C00099"
"Galactose metabolism","27","18","2","2.7577","0.94866","0.99204","0.36019","43","0.43","1","1","1","P40","C05401;C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Phenylpropanoid biosynthesis","43","27","3","4.3919","0.971","0.99356","0.37667","86","0.86","1","1","1","P41","C02666;C02325;C00761"
"Biosynthesis of various plant secondary metabolites","29","19","2","2.9619","0.9591","0.99394","0.38135","76","0.76","1","1","1","P42","C15486;C05839"
"Glucosinolate biosynthesis","65","35","4","6.6389","0.98003","0.99466","0.39093","70","0.7","1","1","1","P43","C02937;C17240;C04350;C00183"
"Flavonoid biosynthesis","47","40","3","4.8004","0.99841","0.99975","0.58471","60","0.6","1","1","1","P44","C05905;C05906;C03648;C00974;C05631;C01378;C12136;C09727;C09736;C15525;C05907"
"Citrate cycle (TCA cycle)","20","11","1","2.0427","0.94805","1","1","81","0.81","1","1","1","P45","C00417;C00022"
"Fructose and mannose metabolism","18","9","1","1.8385","0.91068","1","1","59","0.59","1","1","1","P46","C00267;C00159;C00095"
"Cutin, suberine and wax biosynthesis","18","6","1","1.8385","0.79932","1","1","14","0.14","1","1","1","P47","C19620"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","1","4.8004","0.97704","1","1","98","0.98","1","1","1","P48","C00885;C00251"
"Caffeine metabolism","10","10","1","1.0214","0.93186","1","1","72","0.72","1","1","1","P49","C16361"
"Valine, leucine and isoleucine degradation","37","15","1","3.779","0.98253","1","1","88","0.88","1","1","1","P50","C00183"
"Histidine metabolism","16","11","1","1.6342","0.94805","1","1","58","0.58","1","1","1","P51","C01262"
"Starch and sucrose metabolism","22","9","1","2.247","0.91068","1","1","49","0.49","1","1","1","P52","C00095;C00031"
"Sphingolipid metabolism","27","4","1","2.7577","0.65659","1","1","26","0.26","1","1","1","P53","C00346"
"Pyruvate metabolism","23","12","1","2.3491","0.96041","1","1","68","0.68","1","1","1","P54","C00022"
"Glyoxylate and dicarboxylate metabolism","29","16","1","2.9619","0.98671","1","1","93","0.93","1","1","1","P55","C00417"
"Propanoate metabolism","19","9","1","1.9406","0.91068","1","1","54","0.54","1","1","1","P56","C00222"
"Riboflavin metabolism","13","6","1","1.3278","0.79932","1","1","30","0.3","1","1","1","P57","C04454;C01304"
"Nicotinate and nicotinamide metabolism","13","9","1","1.3278","0.91068","1","1","85","0.85","1","1","1","P58","C00153"
"Lipoic acid metabolism","24","4","1","2.4513","0.65659","1","1","24","0.24","1","1","1","P59","C00022"
"Porphyrin metabolism","48","13","1","4.9025","0.96985","1","1","74","0.74","1","1","1","P60","C03263;C05768"
"Terpenoid backbone biosynthesis","30","9","1","3.0641","0.91068","1","1","56","0.56","1","1","1","P61","C00022"
"Indole alkaloid biosynthesis","4","2","1","0.40854","0.41343","1","1","14","0.14","1","1","1","P62","C01852"
"Diterpenoid biosynthesis","29","18","1","2.9619","0.99233","1","1","80","0.8","1","1","1","P63","C11876"
"Nitrogen metabolism","12","3","1","1.2256","0.55108","1","1","47","0.47","1","1","1","P64","C01563"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.61282","0.79932","1","1","65","0.65","1","1","1","P65","C00483"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","1","0.91923","0.88296","1","1","63","0.63","1","1","1","P66","C12455"
