"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Lysine biosynthesis","9","9","1","0.3785","0.6005","1","1","40","0.4","1","1","1","P35","C00666;C00680"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","1","0.92523","0.82527","1","1","75","0.75","1","1","1","P36","C00251;C00254"
"beta-Alanine metabolism","18","12","1","0.75701","0.70665","1","1","57","0.57","1","1","1","P37","C00222"
"Phosphonate and phosphinate metabolism","5","2","1","0.21028","0.18351","1","1","21","0.21","1","1","1","P38","C06459"
"Cyanoamino acid metabolism","29","25","1","1.2196","0.92442","1","1","86","0.86","1","1","1","P39","C01594"
"Amino sugar and nucleotide sugar metabolism","52","22","1","2.1869","0.89637","1","1","32","0.32","1","1","1","P40","C00191;C00333"
"alpha-Linolenic acid metabolism","26","15","1","1.0935","0.78492","1","1","55","0.55","1","1","1","P41","C21924"
"Sphingolipid metabolism","27","4","1","1.1355","0.33379","1","1","16","0.16","1","1","1","P42","C00346"
"Glyoxylate and dicarboxylate metabolism","29","16","1","1.2196","0.80613","1","1","58","0.58","1","1","1","P43","C00417"
"Carbon fixation in photosynthetic organisms","21","7","1","0.88318","0.50958","1","1","32","0.32","1","1","1","P44","C00022"
"Thiamine metabolism","22","9","1","0.92523","0.6005","1","1","35","0.35","1","1","1","P45","C00022"
"Vitamin B6 metabolism","12","9","1","0.50467","0.6005","1","1","44","0.44","1","1","1","P46","C00647"
"Lipoic acid metabolism","24","4","1","1.0093","0.33379","1","1","13","0.13","1","1","1","P47","C00022"
"Folate biosynthesis","31","16","1","1.3037","0.80613","1","1","69","0.69","1","1","1","P48","C00251"
"Porphyrin metabolism","48","13","1","2.0187","0.73544","1","1","41","0.41","1","1","1","P49","C00500"
"Terpenoid backbone biosynthesis","30","9","1","1.2617","0.6005","1","1","30","0.3","1","1","1","P50","C00022"
"Monoterpenoid biosynthesis","7","2","1","0.29439","0.18351","1","1","5","0.05","1","1","1","P51","C06074"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.25234","0.45676","1","1","25","0.25","1","1","1","P52","C00483"
"Glucosinolate biosynthesis","65","35","1","2.7336","0.9739","1","1","82","0.82","1","1","1","P53","C00073;C04350"
"Biosynthesis of unsaturated fatty acids","22","10","1","0.92523","0.63952","1","1","13","0.13","1","1","1","P54","C01595"
