"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and dicarboxylate metabolism","29","16","1","1.6649","0.89813","1","1","72","0.72","1","1","1","P34","C00168"
"Butanoate metabolism","17","11","1","0.97597","0.79065","1","1","61","0.61","1","1","1","P35","C02630"
"Thiamine metabolism","22","9","1","1.263","0.72121","1","1","47","0.47","1","1","1","P36","C20247"
"Riboflavin metabolism","13","6","1","0.74633","0.57233","1","1","21","0.21","1","1","1","P37","C00061"
"Porphyrin metabolism","48","13","1","2.7557","0.84294","1","1","49","0.49","1","1","1","P38","C18064"
"Terpenoid backbone biosynthesis","30","9","1","1.7223","0.72121","1","1","30","0.3","1","1","1","P39","C01143"
"Indole alkaloid biosynthesis","4","2","1","0.22964","0.24588","1","1","10","0.1","1","1","1","P40","C00078"
"Diterpenoid biosynthesis","29","18","1","1.6649","0.92376","1","1","55","0.55","1","1","1","P41","C00859;C06096;C11868"
"Sulfur metabolism","15","6","1","0.86115","0.57233","1","1","43","0.43","1","1","1","P42","C01118"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.34446","0.57233","1","1","44","0.44","1","1","1","P43","C04043"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","1","0.51669","0.67839","1","1","47","0.47","1","1","1","P44","C00166"
