"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","73","28","2","5.6041","0.99815","0.99983","0.55473","85","0.85","1","1","1","P37","C00020;C00655;C00362;C01367"
"Pentose phosphate pathway","19","5","1","1.4586","0.78014","1","1","5","0.05","1","1","1","P38","C01236"
"Pentose and glucuronate interconversions","17","6","1","1.3051","0.838","1","1","16","0.16","1","1","1","P39","C00379"
"Fatty acid biosynthesis","56","7","1","4.2991","0.88073","1","1","52","0.52","1","1","1","P40","C00383"
"Pyrimidine metabolism","41","11","1","3.1475","0.96525","1","1","72","0.72","1","1","1","P41","C01205"
"Monobactam biosynthesis","8","5","1","0.61415","0.78014","1","1","56","0.56","1","1","1","P42","C00049"
"Histidine metabolism","16","4","1","1.2283","0.70186","1","1","20","0.2","1","1","1","P43","C05130"
"beta-Alanine metabolism","18","11","1","1.3818","0.96525","1","1","90","0.9","1","1","1","P44","C00049"
"Phosphonate and phosphinate metabolism","5","1","1","0.38385","0.26018","1","1","20","0.2","1","1","1","P45","C03557"
"D-Amino acid metabolism","7","6","1","0.53738","0.838","1","1","55","0.55","1","1","1","P46","C00047"
"Amino sugar and nucleotide sugar metabolism","52","16","1","3.992","0.9927","1","1","39","0.39","1","1","1","P47","C00352"
"Propanoate metabolism","19","7","1","1.4586","0.88073","1","1","75","0.75","1","1","1","P48","C00042"
"One carbon pool by folate","8","1","1","0.61415","0.26018","1","1","7","0.07","1","1","1","P49","C00504"
"Carbon fixation in photosynthetic organisms","21","6","1","1.6121","0.838","1","1","66","0.66","1","1","1","P50","C00049"
"Riboflavin metabolism","13","2","1","0.998","0.4531","1","1","18","0.18","1","1","1","P51","C04332"
"Vitamin B6 metabolism","12","8","1","0.92123","0.91226","1","1","63","0.63","1","1","1","P52","C00250"
"Nicotinate and nicotinamide metabolism","13","8","1","0.998","0.91226","1","1","69","0.69","1","1","1","P53","C00049"
"Biotin metabolism","18","3","1","1.3818","0.59604","1","1","8","0.08","1","1","1","P54","C01909"
"Lipoic acid metabolism","24","3","1","1.8425","0.59604","1","1","17","0.17","1","1","1","P55","C05125"
"Terpenoid backbone biosynthesis","30","3","1","2.3031","0.59604","1","1","22","0.22","1","1","1","P56","C01143"
"Monoterpenoid biosynthesis","7","1","1","0.53738","0.26018","1","1","5","0.05","1","1","1","P57","C06074"
"Zeatin biosynthesis","21","3","1","1.6121","0.59604","1","1","12","0.12","1","1","1","P58","C00020"
"Nitrogen metabolism","12","3","1","0.92123","0.59604","1","1","46","0.46","1","1","1","P59","C00025"
"Flavonoid biosynthesis","47","21","1","3.6081","0.9985","1","1","89","0.89","1","1","1","P60","C05906;C00974;C05631;C01378;C12136;C15525"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","3","1","0.69092","0.59604","1","1","13","0.13","1","1","1","P61","C00166"
"Betalain biosynthesis","3","2","1","0.23031","0.4531","1","1","16","0.16","1","1","1","P62","C17758"
